999;Adrar;;1;27.970;0.180;307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date (MM/DD/YYYY);Time (HH:MM);ETR (W/m^2);ETRN (W/m^2);GHI (W/m^2);GHI source;GHI uncert (%);DNI (W/m^2);DNI source;DNI uncert (%);DHI (W/m^2);DHI source;DHI uncert (%);GH illum (lx);GH illum source;Global illum uncert (%);DN illum (lx);DN illum source;DN illum uncert (%);DH illum (lx);DH illum source;DH illum uncert (%);Zenith lum (cd/m^2);Zenith lum source;Zenith lum uncert (%);TotCld (tenths);TotCld source;TotCld uncert (code);OpqCld (tenths);OpqCld source;OpqCld uncert (code);Dry-bulb (C);Dry-bulb source;Dry-bulb uncert (code);Dew-point (C);Dew-point source;Dew-point uncert (code);RHum (%);RHum source;RHum uncert (code);Pressure (mbar);Pressure source;Pressure uncert (code);Wdir (degrees);Wdir source;Wdir uncert (code);Wspd (m/s);Wspd source;Wspd uncert (code);Hvis (m);Hvis source;Hvis uncert (code);CeilHgt (m);CeilHgt source;CeilHgt uncert (code);Pwat (cm);Pwat source;Pwat uncert (code);AOD (unitless);AOD source;AOD uncert (code);Alb (unitless);Alb source;Alb uncert (code);Lprecip depth (mm);Lprecip quantity (hr);Lprecip source;Lprecip uncert (code)
01/01/2005;01:00;0;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;-9990;0;0;0;E;8;0;E;8;13.8;E;8;2.3;E;8;46;E;8;979;E;8;83;E;8;3.0;E;8;-9990;0;0;-9990;0;0;1.090;E;8;0.157;E;8;0.20;E;8;0;-9990;0;0
01/01/2005;02:00;0;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;-9990;0;0;0;E;8;0;E;8;13.1;E;8;2.3;E;8;48;E;8;979;E;8;72;E;8;2.6;E;8;-9990;0;0;-9990;0;0;1.092;E;8;0.157;E;8;0.20;E;8;0;-9990;0;0
01/01/2005;03:00;0;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;-9990;0;0;0;E;8;0;E;8;12.5;E;8;1.8;E;8;48;E;8;979;E;8;69;E;8;2.7;E;8;-9990;0;0;-9990;0;0;1.050;E;8;0.157;E;8;0.20;E;8;0;-9990;0;0
01/01/2005;04:00;0;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;-9990;0;0;0;E;8;0;E;8;12.2;E;8;1.6;E;8;48;E;8;979;E;8;130;E;8;3.0;E;8;-9990;0;0;-9990;0;0;1.034;E;8;0.157;E;8;0.20;E;8;0;-9990;0;0
01/01/2005;05:00;0;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;-9990;0;0;0;E;8;0;E;8;11.9;E;8;1.3;E;8;48;E;8;979;E;8;83;E;8;2.5;E;8;-9990;0;0;-9990;0;0;1.013;E;8;0.157;E;8;0.20;E;8;0;-9990;0;0
01/01/2005;06:00;0;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;-9990;0;0;0;E;8;0;E;8;11.7;E;8;1.5;E;8;50;E;8;979;E;8;72;E;8;2.7;E;8;-9990;0;0;-9990;0;0;1.033;E;8;0.157;E;8;0.20;E;8;0;-9990;0;0
01/01/2005;07:00;0;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;0;3;0;-9990;0;0;0;E;8;0;E;8;11.5;E;8;1.2;E;8;49;E;8;979;E;8;96;E;8;2.3;E;8;-9990;0;0;-9990;0;0;1.008;E;8;0.157;E;8;0.20;E;8;0;-9990;0;0
01/01/2005;08:00;1;64;0;3;10;0;3;20;0;3;10;8;3;10;3;3;20;8;3;10;-9990;0;0;0;E;8;0;E;8;11.5;E;8;0.8;E;8;48;E;8;979;E;8;57;E;8;3.0;E;8;-9990;0;0;-9990;0;0;0.984;E;8;0.157;E;8;0.20;E;8;0;-9990;0;0
01/01/2005;09:00;169;1412;89;3;10;412;3;20;40;3;10;9159;3;10;25902;3;20;6052;3;10;-9990;0;0;0;E;8;0;E;8;12.9;E;8;1.2;E;8;45;E;8;979;E;8;79;E;8;2.9;E;8;-9990;0;0;-9990;0;0;1.008;E;8;0.157;E;8;0.20;E;8;0;-9990;0;0
01/01/2005;10:00;430;1412;276;3;10;741;3;20;51;3;10;29438;3;10;70346;3;20;8004;3;10;-9990;0;0;0;E;8;0;E;8;15.2;E;8;1.4;E;8;39;E;8;979;E;8;118;E;8;4.9;E;8;-9990;0;0;-9990;0;0;1.026;E;8;0.157;E;8;0.20;E;8;0;-9990;0;0
