sep=,
"Time","Global Solar","Amerisolar AS-6M Solar Altitude","Amerisolar AS-6M Solar Azimuth","Amerisolar AS-6M Angle of Incidence","Amerisolar AS-6M Incident Solar","Amerisolar AS-6M Power Output","Amerisolar AS-6M Cell Temperature","Wind Speed","Vestas V90 3MW [3MW] Power Output","Vestas V90 3MW [3MW] Operating Status","Ambient Temperature","Grid Purchases","Grid Sales","Total Electrical Load Served","Renewable Penetration","Capacity Shortage","Total Renewable Power Output","Inverter Power Input","Inverter Power Output","Rectifier Power Input","Rectifier Power Output","AC Required Operating Capacity","DC Required Operating Capacity","AC Operating Capacity","DC Operating Capacity"
,"kW/m2","°","°","°","kW/m2","kW","°C","m/s","kW","status","°C","kW","kW","kW","%","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW"
"01/01/2007 00:00:00","0","0","121.2553","90","0","0","13.8","3","776.8392","0","13.8","0","776.8392","776.8392","100","0","776.8392","0","0","0","0","776.8392","0","1000776","0"
"01/01/2007 01:00:00","0","0","-127.4116","90","0","0","13.1","2.6","478.5939","0","13.1","0","478.5939","478.5939","100","0","478.5939","0","0","0","0","478.5939","0","1000478","0"
"01/01/2007 02:00:00","0","0","-99.10188","90","0","0","12.5","2.7","553.1553","0","12.5","0","553.1553","553.1553","100","0","553.1553","0","0","0","0","553.1553","0","1000552","0"
"01/01/2007 03:00:00","0","0","-89.95338","90","0","0","12.2","3","776.8392","0","12.2","0","776.8392","776.8392","100","0","776.8392","0","0","0","0","776.8392","0","1000776","0"
"01/01/2007 04:00:00","0","0","-83.758","90","0","0","11.9","2.5","404.0327","0","11.9","0","404.0327","404.0327","100","0","404.0327","0","0","0","0","404.0327","0","1000403","0"
"01/01/2007 05:00:00","0","0","-78.25252","90","0","0","11.7","2.7","553.1553","0","11.7","0","553.1553","553.1553","100","0","553.1553","0","0","0","0","553.1553","0","1000552","0"
"01/01/2007 06:00:00","0","0","-72.66869","90","0","0","11.5","2.3","254.91","0","11.5","0","254.91","254.91","100","0","254.91","0","0","0","0","254.91","0","1000254","0"
"01/01/2007 07:00:00","0","0","-66.53059","90","0","0","11.5","3","776.8392","0","11.5","0","776.8392","776.8392","100","0","776.8392","0","0","0","0","776.8392","0","1000776","0"
"01/01/2007 08:00:00","0.089","6.694545","-59.38104","83.64569","0.085756","396.6773","15.02771","2.9","702.278","0","12.9","0","1093.005","1093.005","100.5444","0","1098.955","396.6773","390.7272","0","0","702.278","396.6773","1000701","396.6773"
"01/01/2007 09:00:00","0.276","17.56089","-50.67714","70.21207","0.3038941","1376.019","22.78131","4.9","4045.699","0","15.2","0","5401.078","5401.078","100.3821","0","5421.718","1376.019","1355.379","0","0","4045.699","1376.019","1004045","1376.019"
"01/01/2007 10:00:00","0.456","26.98577","-39.77405","57.29502","0.5367536","2372.984","31.27041","4.6","3245.145","0","17.8","0","5582.534","5582.534","100.6376","0","5618.129","2372.984","2337.389","0","0","3245.145","2372.984","1003244","2372.984"
"01/01/2007 11:00:00","0.593","34.21946","-26.10302","45.3924","0.733733","3175.053","38.70956","4.9","4045.699","0","20.2","0","7173.126","7173.126","100.6639","0","7220.752","3175.053","3127.427","0","0","4045.699","3175.053","1004045","3175.053"
